cardno,name,expansion
DZ-BT15/032,翔勢の騎士 ウェルムンド,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/036,陣頭を往く誓いの戦旗,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/054,暗黒魔道士 バイヴ･カー,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX01,サッカーモンスター 円堂 ハル,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX02,万能ストライカー 空宮 征,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX03,雪原のアウトロー 吹雪 士郎（アツヤ人格）,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX04,流星の貴公子 基山 ヒロト,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX05,黒き狂星 剣城 京介,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX06,もちもちガール 菜花 黄名子,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX07,フィールドの悪魔 灰崎 凌兵,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX08,戦術の皇帝 野坂 悠馬,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX09,頂点のカリスマ 月影 蓮,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX10,冷静なるジャッジマン 品乃 雅士,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX11,イケイケ相撲部員 幕下 照,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
DZ-BT15/EX12,憑依のアクター 弁天 九郎丸,ブースターパック 【DZ-BT15】「虚影襲雷」 2026/06/19(金) 発売 収録国家：ドラゴンエンパイア、ダークステイツ、ブラントゲート、ケテルサンクチュアリ、ストイケイア、イナズマイレブン
